project_id,project_name,project_description,project_field_of_view,project_method,project_countries,project_protocol,project_global_region,project_organisations,site_id,site_name,site_latitude,site_longitude,site_depth,site_country,site_reef_name,site_exposure,site_reef_type,site_reef_zone,site_code,site_management,site_local_region,site_country_region,survey_id,survey_title,survey_description,survey_start_date,survey_collection_method,survey_depth,survey_transect_number,image_id,image_name,image_path,image_height,image_width,image_quality,image_disabled,point_id,point_num,point_machine_classification,point_human_classification,point_human_group_code,point_coordinate,point_model_confidence,point_modified_by_displayname,point_modified_by_username,point_modified_by_email
1,AIMS,AIMS Long Term Monitoring Program,50,"[""Dive""]","[""Australia""]","[""Photo transects""]","[""Australia""]","[""Australian Institute of Marine Science""]",550,Horseshoe Reef Site 1,-22.02,152.61,5,Australia,Horseshoe Reef,,,,,,,,21214,Horseshoe Reef Site 1 Transect 1 2020-Aug-30,,2020-08-30 00:00:00+00,Dive,7,1,1661851,HORSESHOE REEF_V29 (27).JPG,surveys/AIMS/21214/3687400e-45e0-4848-ac1b-19efc4840bdd/HORSESHOE REEF_V29 (27).JPG,2432,3648,,f,66528945,4,CA,TA,A,"768.0, 1536.0",,,,
1,AIMS,AIMS Long Term Monitoring Program,50,"[""Dive""]","[""Australia""]","[""Photo transects""]","[""Australia""]","[""Australian Institute of Marine Science""]",550,Horseshoe Reef Site 1,-22.02,152.61,5,Australia,Horseshoe Reef,,,,,,,,21214,Horseshoe Reef Site 1 Transect 1 2020-Aug-30,,2020-08-30 00:00:00+00,Dive,7,1,1661851,HORSESHOE REEF_V29 (27).JPG,surveys/AIMS/21214/3687400e-45e0-4848-ac1b-19efc4840bdd/HORSESHOE REEF_V29 (27).JPG,2432,3648,,f,66528947,5,TA,MA_OTH,A,"2304.0, 1536.0",,,,
1,AIMS,AIMS Long Term Monitoring Program,50,"[""Dive""]","[""Australia""]","[""Photo transects""]","[""Australia""]","[""Australian Institute of Marine Science""]",550,Horseshoe Reef Site 1,-22.02,152.61,5,Australia,Horseshoe Reef,,,,,,,,21214,Horseshoe Reef Site 1 Transect 1 2020-Aug-30,,2020-08-30 00:00:00+00,Dive,7,1,1661851,HORSESHOE REEF_V29 (27).JPG,surveys/AIMS/21214/3687400e-45e0-4848-ac1b-19efc4840bdd/HORSESHOE REEF_V29 (27).JPG,2432,3648,,f,66528942,1,CA,MA_RED,A,"768.0, 512.0",,,,
1,AIMS,AIMS Long Term Monitoring Program,50,"[""Dive""]","[""Australia""]","[""Photo transects""]","[""Australia""]","[""Australian Institute of Marine Science""]",550,Horseshoe Reef Site 1,-22.02,152.61,5,Australia,Horseshoe Reef,,,,,,,,21214,Horseshoe Reef Site 1 Transect 1 2020-Aug-30,,2020-08-30 00:00:00+00,Dive,7,1,1661851,HORSESHOE REEF_V29 (27).JPG,surveys/AIMS/21214/3687400e-45e0-4848-ac1b-19efc4840bdd/HORSESHOE REEF_V29 (27).JPG,2432,3648,,f,66528944,3,TA,MA_OTH,A,"1536.0, 1024.0",,,,
1,AIMS,AIMS Long Term Monitoring Program,50,"[""Dive""]","[""Australia""]","[""Photo transects""]","[""Australia""]","[""Australian Institute of Marine Science""]",550,Horseshoe Reef Site 1,-22.02,152.61,5,Australia,Horseshoe Reef,,,,,,,,21214,Horseshoe Reef Site 1 Transect 1 2020-Aug-30,,2020-08-30 00:00:00+00,Dive,7,1,1661851,HORSESHOE REEF_V29 (27).JPG,surveys/AIMS/21214/3687400e-45e0-4848-ac1b-19efc4840bdd/HORSESHOE REEF_V29 (27).JPG,2432,3648,,f,66528943,2,CA,TA,A,"2304.0, 512.0",,,,
1,AIMS,AIMS Long Term Monitoring Program,50,"[""Dive""]","[""Australia""]","[""Photo transects""]","[""Australia""]","[""Australian Institute of Marine Science""]",550,Horseshoe Reef Site 1,-22.02,152.61,5,Australia,Horseshoe Reef,,,,,,,,21214,Horseshoe Reef Site 1 Transect 1 2020-Aug-30,,2020-08-30 00:00:00+00,Dive,7,1,1661853,HORSESHOE REEF_V29 (17).JPG,surveys/AIMS/21214/da40f4c1-ac3e-4e93-b53e-5c3e9e490fa9/HORSESHOE REEF_V29 (17).JPG,2432,3648,,f,66528955,4,TA,MA_RED,A,"768.0, 1536.0",,,,
1,AIMS,AIMS Long Term Monitoring Program,50,"[""Dive""]","[""Australia""]","[""Photo transects""]","[""Australia""]","[""Australian Institute of Marine Science""]",550,Horseshoe Reef Site 1,-22.02,152.61,5,Australia,Horseshoe Reef,,,,,,,,21214,Horseshoe Reef Site 1 Transect 1 2020-Aug-30,,2020-08-30 00:00:00+00,Dive,7,1,1661853,HORSESHOE REEF_V29 (17).JPG,surveys/AIMS/21214/da40f4c1-ac3e-4e93-b53e-5c3e9e490fa9/HORSESHOE REEF_V29 (17).JPG,2432,3648,,f,66528956,5,TA,TA,A,"2304.0, 1536.0",,,,
1,AIMS,AIMS Long Term Monitoring Program,50,"[""Dive""]","[""Australia""]","[""Photo transects""]","[""Australia""]","[""Australian Institute of Marine Science""]",550,Horseshoe Reef Site 1,-22.02,152.61,5,Australia,Horseshoe Reef,,,,,,,,21214,Horseshoe Reef Site 1 Transect 1 2020-Aug-30,,2020-08-30 00:00:00+00,Dive,7,1,1661853,HORSESHOE REEF_V29 (17).JPG,surveys/AIMS/21214/da40f4c1-ac3e-4e93-b53e-5c3e9e490fa9/HORSESHOE REEF_V29 (17).JPG,2432,3648,,f,66528950,1,TA,TA,A,"768.0, 512.0",,,,
1,AIMS,AIMS Long Term Monitoring Program,50,"[""Dive""]","[""Australia""]","[""Photo transects""]","[""Australia""]","[""Australian Institute of Marine Science""]",550,Horseshoe Reef Site 1,-22.02,152.61,5,Australia,Horseshoe Reef,,,,,,,,21214,Horseshoe Reef Site 1 Transect 1 2020-Aug-30,,2020-08-30 00:00:00+00,Dive,7,1,1661853,HORSESHOE REEF_V29 (17).JPG,surveys/AIMS/21214/da40f4c1-ac3e-4e93-b53e-5c3e9e490fa9/HORSESHOE REEF_V29 (17).JPG,2432,3648,,f,66528954,3,TA,MA_OTH,A,"1536.0, 1024.0",,,,
1,AIMS,AIMS Long Term Monitoring Program,50,"[""Dive""]","[""Australia""]","[""Photo transects""]","[""Australia""]","[""Australian Institute of Marine Science""]",550,Horseshoe Reef Site 1,-22.02,152.61,5,Australia,Horseshoe Reef,,,,,,,,21214,Horseshoe Reef Site 1 Transect 1 2020-Aug-30,,2020-08-30 00:00:00+00,Dive,7,1,1661853,HORSESHOE REEF_V29 (17).JPG,surveys/AIMS/21214/da40f4c1-ac3e-4e93-b53e-5c3e9e490fa9/HORSESHOE REEF_V29 (17).JPG,2432,3648,,f,66528953,2,TA,MA_RED,A,"2304.0, 512.0",,,,
1,AIMS,AIMS Long Term Monitoring Program,50,"[""Dive""]","[""Australia""]","[""Photo transects""]","[""Australia""]","[""Australian Institute of Marine Science""]",550,Horseshoe Reef Site 1,-22.02,152.61,5,Australia,Horseshoe Reef,,,,,,,,21214,Horseshoe Reef Site 1 Transect 1 2020-Aug-30,,2020-08-30 00:00:00+00,Dive,7,1,1661854,HORSESHOE REEF_V29 (22).JPG,surveys/AIMS/21214/f3308f8d-883a-4ba3-b349-0ca10255b936/HORSESHOE REEF_V29 (22).JPG,2432,3648,,f,66528957,1,TA,MA_RED,A,"768.0, 512.0",,,,
1,AIMS,AIMS Long Term Monitoring Program,50,"[""Dive""]","[""Australia""]","[""Photo transects""]","[""Australia""]","[""Australian Institute of Marine Science""]",550,Horseshoe Reef Site 1,-22.02,152.61,5,Australia,Horseshoe Reef,,,,,,,,21214,Horseshoe Reef Site 1 Transect 1 2020-Aug-30,,2020-08-30 00:00:00+00,Dive,7,1,1661854,HORSESHOE REEF_V29 (22).JPG,surveys/AIMS/21214/f3308f8d-883a-4ba3-b349-0ca10255b936/HORSESHOE REEF_V29 (22).JPG,2432,3648,,f,66528958,2,TA,MA_OTH,A,"2304.0, 512.0",,,,
1,AIMS,AIMS Long Term Monitoring Program,50,"[""Dive""]","[""Australia""]","[""Photo transects""]","[""Australia""]","[""Australian Institute of Marine Science""]",550,Horseshoe Reef Site 1,-22.02,152.61,5,Australia,Horseshoe Reef,,,,,,,,21214,Horseshoe Reef Site 1 Transect 1 2020-Aug-30,,2020-08-30 00:00:00+00,Dive,7,1,1661854,HORSESHOE REEF_V29 (22).JPG,surveys/AIMS/21214/f3308f8d-883a-4ba3-b349-0ca10255b936/HORSESHOE REEF_V29 (22).JPG,2432,3648,,f,66528959,3,TA,TA,A,"1536.0, 1024.0",,,,
1,AIMS,AIMS Long Term Monitoring Program,50,"[""Dive""]","[""Australia""]","[""Photo transects""]","[""Australia""]","[""Australian Institute of Marine Science""]",550,Horseshoe Reef Site 1,-22.02,152.61,5,Australia,Horseshoe Reef,,,,,,,,21214,Horseshoe Reef Site 1 Transect 1 2020-Aug-30,,2020-08-30 00:00:00+00,Dive,7,1,1661854,HORSESHOE REEF_V29 (22).JPG,surveys/AIMS/21214/f3308f8d-883a-4ba3-b349-0ca10255b936/HORSESHOE REEF_V29 (22).JPG,2432,3648,,f,66528960,4,CA,MA_OTH,A,"768.0, 1536.0",,,,
1,AIMS,AIMS Long Term Monitoring Program,50,"[""Dive""]","[""Australia""]","[""Photo transects""]","[""Australia""]","[""Australian Institute of Marine Science""]",550,Horseshoe Reef Site 1,-22.02,152.61,5,Australia,Horseshoe Reef,,,,,,,,21214,Horseshoe Reef Site 1 Transect 1 2020-Aug-30,,2020-08-30 00:00:00+00,Dive,7,1,1661854,HORSESHOE REEF_V29 (22).JPG,surveys/AIMS/21214/f3308f8d-883a-4ba3-b349-0ca10255b936/HORSESHOE REEF_V29 (22).JPG,2432,3648,,f,66528961,5,TA,TA,A,"2304.0, 1536.0",,,,
1,AIMS,AIMS Long Term Monitoring Program,50,"[""Dive""]","[""Australia""]","[""Photo transects""]","[""Australia""]","[""Australian Institute of Marine Science""]",550,Horseshoe Reef Site 1,-22.02,152.61,5,Australia,Horseshoe Reef,,,,,,,,21214,Horseshoe Reef Site 1 Transect 1 2020-Aug-30,,2020-08-30 00:00:00+00,Dive,7,1,1661855,HORSESHOE REEF_V29 (28).JPG,surveys/AIMS/21214/86dcf05a-42c6-4373-94e9-5ccf9e86c7ec/HORSESHOE REEF_V29 (28).JPG,2432,3648,,f,66528963,2,TA,CA,A,"2304.0, 512.0",,,,
1,AIMS,AIMS Long Term Monitoring Program,50,"[""Dive""]","[""Australia""]","[""Photo transects""]","[""Australia""]","[""Australian Institute of Marine Science""]",550,Horseshoe Reef Site 1,-22.02,152.61,5,Australia,Horseshoe Reef,,,,,,,,21214,Horseshoe Reef Site 1 Transect 1 2020-Aug-30,,2020-08-30 00:00:00+00,Dive,7,1,1661855,HORSESHOE REEF_V29 (28).JPG,surveys/AIMS/21214/86dcf05a-42c6-4373-94e9-5ccf9e86c7ec/HORSESHOE REEF_V29 (28).JPG,2432,3648,,f,66528965,4,TA,MA_BROWN,A,"768.0, 1536.0",,,,
1,AIMS,AIMS Long Term Monitoring Program,50,"[""Dive""]","[""Australia""]","[""Photo transects""]","[""Australia""]","[""Australian Institute of Marine Science""]",550,Horseshoe Reef Site 1,-22.02,152.61,5,Australia,Horseshoe Reef,,,,,,,,21214,Horseshoe Reef Site 1 Transect 1 2020-Aug-30,,2020-08-30 00:00:00+00,Dive,7,1,1661855,HORSESHOE REEF_V29 (28).JPG,surveys/AIMS/21214/86dcf05a-42c6-4373-94e9-5ccf9e86c7ec/HORSESHOE REEF_V29 (28).JPG,2432,3648,,f,66528966,5,TA,MA_BROWN,A,"2304.0, 1536.0",,,,
